Raw file	Experiment	MS/MS	MS/MS Identified	MS/MS Identified [%]	Peptide Sequences Identified
10_18	10_18	67058	39552	58.98	26362
10_9	10_9	52640	38984	74.06	20835
11_18	11_18	71382	38238	53.57	23999
11_9	11_9	48232	24088	49.94	8282
12_18	12_18	64638	26744	41.38	13815
12_9	12_9	43689	20545	47.03	7042
13_18	13_18	68017	28959	42.58	17142
13_9	13_9	47999	26760	55.75	9012
14_18	14_18	69994	33587	47.99	20755
14_9	14_9	47392	26681	56.3	8355
15_18	15_18	62987	32552	51.68	20310
15_9	15_9	49622	32242	64.98	13796
16_18	16_18	66342	29393	44.31	16225
16_9	16_9	51624	37557	72.75	16298
17_18	17_18	73296	46623	63.61	30231
17_9	17_9	54911	37213	67.77	13001
18_18	18_18	76291	31962	41.89	16572
18_9	18_9	54916	38802	70.66	16221
9_18	9_18	71451	38456	53.82	23413
9_9	9_9	53444	30304	56.7	10950
Total		1195925	659242	55.12	332616